"age","workclass","fnlwgt","went.to.college","education.years","is.married","occupation","relationship","race","is.male","capital.gain","capital.loss","hours.per.week","native.country","income.over.50k"
20,"Private",266015,1,10,0,"Sales","Own-child","Black",1,0,0,44,"United-States","<=50K"
45,"Private",386940,0,13,0,"Exec-managerial","Own-child","White",1,0,1408,40,"United-States","<=50K"
30,"Federal-gov",59951,1,10,1,"Adm-clerical","Own-child","White",1,0,0,40,"United-States","<=50K"
22,"State-gov",311512,1,10,1,"Other-service","Husband","Black",1,0,0,15,"United-States","<=50K"
48,"Private",242406,0,7,0,"Machine-op-inspct","Unmarried","White",1,0,0,40,"Puerto-Rico","<=50K"
21,"Private",197200,1,10,0,"Machine-op-inspct","Own-child","White",1,0,0,40,"United-States","<=50K"
19,"Private",544091,0,9,1,"Adm-clerical","Wife","White",0,0,0,25,"United-States","<=50K"
31,"Private",84154,1,10,1,"Sales","Husband","White",1,0,0,38,"",">50K"
48,"Self-emp-not-inc",265477,0,12,1,"Prof-specialty","Husband","White",1,0,0,40,"United-States","<=50K"
31,"Private",507875,0,5,1,"Machine-op-inspct","Husband","White",1,0,0,43,"United-States","<=50K"
53,"Self-emp-not-inc",88506,0,13,1,"Prof-specialty","Husband","White",1,0,0,40,"United-States","<=50K"
24,"Private",172987,0,13,1,"Tech-support","Husband","White",1,0,0,50,"United-States","<=50K"
49,"Private",94638,0,9,0,"Adm-clerical","Unmarried","White",0,0,0,40,"United-States","<=50K"
25,"Private",289980,0,9,0,"Handlers-cleaners","Not-in-family","White",1,0,0,35,"United-States","<=50K"
57,"Federal-gov",337895,0,13,1,"Prof-specialty","Husband","Black",1,0,0,40,"United-States",">50K"
53,"Private",144361,0,9,1,"Machine-op-inspct","Husband","White",1,0,0,38,"United-States","<=50K"
44,"Private",128354,1,14,0,"Exec-managerial","Unmarried","White",0,0,0,40,"United-States","<=50K"
41,"State-gov",101603,0,11,1,"Craft-repair","Husband","White",1,0,0,40,"United-States","<=50K"
29,"Private",271466,0,11,0,"Prof-specialty","Not-in-family","White",1,0,0,43,"United-States","<=50K"
25,"Private",32275,1,10,1,"Exec-managerial","Wife","Other",0,0,0,40,"United-States","<=50K"
18,"Private",226956,0,9,0,"Other-service","Own-child","White",0,0,0,30,"","<=50K"
47,"Private",51835,0,15,1,"Prof-specialty","Wife","White",0,0,1902,60,"Honduras",">50K"
50,"Federal-gov",251585,0,13,0,"Exec-managerial","Not-in-family","White",1,0,0,55,"United-States",">50K"
47,"Self-emp-inc",109832,0,9,0,"Exec-managerial","Not-in-family","White",1,0,0,60,"United-States","<=50K"
43,"Private",237993,1,10,1,"Tech-support","Husband","White",1,0,0,40,"United-States",">50K"
46,"Private",216666,0,3,1,"Machine-op-inspct","Husband","White",1,0,0,40,"Mexico","<=50K"
35,"Private",56352,0,11,1,"Other-service","Husband","White",1,0,0,40,"Puerto-Rico","<=50K"
41,"Private",147372,0,9,1,"Adm-clerical","Husband","White",1,0,0,48,"United-States","<=50K"
30,"Private",188146,0,9,1,"Machine-op-inspct","Husband","White",1,5013,0,40,"United-States","<=50K"
30,"Private",59496,0,13,1,"Sales","Husband","White",1,2407,0,40,"United-States","<=50K"
32,"",293936,0,4,0,"","Not-in-family","White",1,0,0,40,"","<=50K"
48,"Private",149640,0,9,1,"Transport-moving","Husband","White",1,0,0,40,"United-States","<=50K"
42,"Private",116632,1,16,1,"Prof-specialty","Husband","White",1,0,0,45,"United-States",">50K"
29,"Private",105598,1,10,0,"Tech-support","Not-in-family","White",1,0,0,58,"United-States","<=50K"
36,"Private",155537,0,9,1,"Craft-repair","Husband","White",1,0,0,40,"United-States","<=50K"
28,"Private",183175,1,10,0,"Adm-clerical","Not-in-family","White",0,0,0,40,"United-States","<=50K"
53,"Private",169846,0,9,1,"Adm-clerical","Wife","White",0,0,0,40,"United-States",">50K"
49,"Self-emp-inc",191681,1,10,1,"Exec-managerial","Husband","White",1,0,0,50,"United-States",">50K"
25,"",200681,1,10,0,"","Own-child","White",1,0,0,40,"United-States","<=50K"
19,"Private",101509,1,10,0,"Prof-specialty","Own-child","White",1,0,0,32,"United-States","<=50K"
31,"Private",309974,0,13,0,"Sales","Own-child","Black",0,0,0,40,"United-States","<=50K"
29,"Self-emp-not-inc",162298,0,13,1,"Sales","Husband","White",1,0,0,70,"United-States",">50K"
23,"Private",211678,1,10,0,"Machine-op-inspct","Not-in-family","White",1,0,0,40,"United-States","<=50K"
79,"Private",124744,1,10,1,"Prof-specialty","Other-relative","White",1,0,0,20,"United-States","<=50K"
27,"Private",213921,0,9,0,"Other-service","Own-child","White",1,0,0,40,"Mexico","<=50K"
40,"Private",32214,0,12,1,"Adm-clerical","Husband","White",1,0,0,40,"United-States","<=50K"
67,"",212759,0,6,1,"","Husband","White",1,0,0,2,"United-States","<=50K"
18,"Private",309634,0,7,0,"Other-service","Own-child","White",0,0,0,22,"United-States","<=50K"
31,"Local-gov",125927,0,4,1,"Farming-fishing","Husband","White",1,0,0,40,"United-States","<=50K"
18,"Private",446839,0,9,0,"Sales","Not-in-family","White",1,0,0,30,"United-States","<=50K"
52,"Private",276515,0,13,1,"Other-service","Husband","White",1,0,0,40,"Cuba","<=50K"
46,"Private",51618,0,9,1,"Other-service","Wife","White",0,0,0,40,"United-States","<=50K"
59,"Private",159937,0,9,1,"Sales","Husband","White",1,0,0,48,"United-States","<=50K"
44,"Private",343591,0,9,0,"Craft-repair","Not-in-family","White",0,14344,0,40,"United-States",">50K"
53,"Private",346253,0,9,0,"Sales","Own-child","White",0,0,0,35,"United-States","<=50K"
49,"Local-gov",268234,0,9,1,"Protective-serv","Husband","White",1,0,0,40,"United-States",">50K"
33,"Private",202051,1,14,1,"Prof-specialty","Husband","White",1,0,0,50,"United-States","<=50K"
30,"Private",54334,0,5,0,"Sales","Not-in-family","White",1,0,0,40,"United-States","<=50K"
43,"Federal-gov",410867,1,16,0,"Prof-specialty","Not-in-family","White",0,0,0,50,"United-States",">50K"
57,"Private",249977,0,11,1,"Prof-specialty","Husband","White",1,0,0,40,"United-States","<=50K"
37,"Private",286730,1,10,0,"Craft-repair","Unmarried","White",0,0,0,40,"United-States","<=50K"
28,"Private",212563,1,10,0,"Machine-op-inspct","Unmarried","Black",0,0,0,25,"United-States","<=50K"
30,"Private",117747,0,9,1,"Sales","Wife","Asian-Pac-Islander",0,0,1573,35,"","<=50K"
34,"Local-gov",226296,0,13,1,"Protective-serv","Husband","White",1,0,0,40,"United-States",">50K"
29,"Local-gov",115585,1,10,0,"Handlers-cleaners","Not-in-family","White",1,0,0,50,"United-States","<=50K"
48,"Self-emp-not-inc",191277,1,16,1,"Prof-specialty","Husband","White",1,0,1902,60,"United-States",">50K"
37,"Private",202683,1,10,1,"Sales","Husband","White",1,0,0,48,"United-States",">50K"
48,"Private",171095,0,12,0,"Exec-managerial","Unmarried","White",0,0,0,40,"England","<=50K"
32,"Federal-gov",249409,0,9,0,"Other-service","Own-child","Black",1,0,0,40,"United-States","<=50K"
76,"Private",124191,1,14,1,"Exec-managerial","Husband","White",1,0,0,40,"United-States",">50K"
44,"Private",198282,0,13,1,"Exec-managerial","Husband","White",1,15024,0,60,"United-States",">50K"
47,"Self-emp-not-inc",149116,1,14,0,"Prof-specialty","Not-in-family","White",0,0,0,50,"United-States","<=50K"
20,"Private",188300,1,10,0,"Tech-support","Own-child","White",0,0,0,40,"United-States","<=50K"
29,"Private",103432,0,9,0,"Craft-repair","Not-in-family","White",1,0,0,40,"United-States","<=50K"
32,"Self-emp-inc",317660,0,9,1,"Craft-repair","Husband","White",1,7688,0,40,"United-States",">50K"
17,"",304873,0,6,0,"","Own-child","White",0,34095,0,32,"United-States","<=50K"
30,"Private",194901,0,7,0,"Handlers-cleaners","Own-child","White",1,0,0,40,"United-States","<=50K"
31,"Local-gov",189265,0,9,0,"Adm-clerical","Not-in-family","White",0,0,0,40,"United-States","<=50K"
42,"Private",124692,0,9,1,"Handlers-cleaners","Husband","White",1,0,0,40,"United-States","<=50K"
24,"Private",432376,0,13,0,"Sales","Other-relative","White",1,0,0,40,"United-States","<=50K"
38,"Private",65324,0,15,1,"Prof-specialty","Husband","White",1,0,0,40,"United-States",">50K"
56,"Self-emp-not-inc",335605,0,9,1,"Other-service","Husband","White",1,0,1887,50,"Canada",">50K"
28,"Private",377869,1,10,1,"Sales","Wife","White",0,4064,0,25,"United-States","<=50K"
36,"Private",102864,0,9,0,"Machine-op-inspct","Own-child","White",0,0,0,40,"United-States","<=50K"
53,"Private",95647,0,5,1,"Handlers-cleaners","Husband","White",1,0,0,50,"United-States","<=50K"
56,"Self-emp-inc",303090,1,10,1,"Sales","Husband","White",1,0,0,50,"United-States","<=50K"
49,"Local-gov",197371,0,11,1,"Craft-repair","Husband","Black",1,0,0,40,"United-States",">50K"
55,"Private",247552,1,10,1,"Sales","Husband","White",1,0,0,56,"United-States","<=50K"
22,"Private",102632,0,9,0,"Craft-repair","Not-in-family","White",1,0,0,41,"United-States","<=50K"
21,"Private",199915,1,10,0,"Other-service","Own-child","White",0,0,0,40,"United-States","<=50K"
40,"Private",118853,0,13,1,"Exec-managerial","Husband","White",1,0,0,60,"United-States","<=50K"
30,"Private",77143,0,13,0,"Exec-managerial","Own-child","Black",1,0,0,40,"Germany","<=50K"
29,"State-gov",267989,0,13,1,"Prof-specialty","Husband","White",1,0,0,50,"United-States",">50K"
19,"Private",301606,1,10,0,"Other-service","Own-child","Black",1,0,0,35,"United-States","<=50K"
47,"Private",287828,0,13,1,"Exec-managerial","Wife","White",0,0,0,40,"United-States",">50K"
20,"Private",111697,1,10,0,"Adm-clerical","Own-child","White",0,0,1719,28,"United-States","<=50K"
31,"Private",114937,0,12,1,"Adm-clerical","Husband","White",1,0,0,40,"United-States",">50K"
35,"",129305,0,9,1,"","Husband","White",1,0,0,40,"United-States","<=50K"
39,"Private",365739,1,10,0,"Craft-repair","Not-in-family","White",1,0,0,40,"United-States","<=50K"
28,"Private",69621,0,12,0,"Sales","Not-in-family","White",0,0,0,60,"United-States","<=50K"
24,"Private",43323,0,9,0,"Other-service","Not-in-family","White",0,0,1762,40,"United-States","<=50K"
38,"Self-emp-not-inc",120985,0,9,1,"Craft-repair","Husband","White",1,4386,0,35,"United-States","<=50K"
37,"Private",254202,0,13,1,"Sales","Husband","White",1,0,0,50,"United-States","<=50K"
46,"Private",146195,0,12,0,"Tech-support","Not-in-family","Black",0,0,0,36,"United-States","<=50K"
38,"Federal-gov",125933,1,14,1,"Prof-specialty","Husband","White",1,0,0,40,"Iran",">50K"
43,"Self-emp-not-inc",56920,0,9,1,"Craft-repair","Husband","White",1,0,0,60,"United-States","<=50K"
27,"Private",163127,0,11,1,"Adm-clerical","Wife","White",0,0,0,35,"United-States","<=50K"
20,"Private",34310,1,10,0,"Sales","Own-child","White",1,0,0,20,"United-States","<=50K"
49,"Private",81973,1,10,1,"Craft-repair","Husband","Asian-Pac-Islander",1,0,0,40,"United-States",">50K"
61,"Self-emp-inc",66614,0,9,1,"Craft-repair","Husband","White",1,0,0,40,"United-States","<=50K"
27,"Private",232782,1,10,0,"Sales","Own-child","White",0,0,0,40,"United-States","<=50K"
19,"Private",316868,1,10,0,"Other-service","Own-child","White",1,0,0,30,"Mexico","<=50K"
45,"Private",196584,0,11,0,"Prof-specialty","Not-in-family","White",0,0,1564,40,"United-States",">50K"
70,"Private",105376,1,10,0,"Tech-support","Other-relative","White",1,0,0,40,"United-States","<=50K"
31,"Private",185814,0,9,0,"Transport-moving","Unmarried","Black",0,0,0,30,"United-States","<=50K"
22,"Private",175374,1,10,1,"Other-service","Husband","White",1,0,0,24,"United-States","<=50K"
36,"Private",108293,0,9,0,"Other-service","Unmarried","White",0,0,0,24,"United-States","<=50K"
64,"Private",181232,0,7,1,"Craft-repair","Husband","White",1,0,2179,40,"United-States","<=50K"
43,"",174662,1,10,0,"","Not-in-family","White",0,0,0,40,"United-States","<=50K"
47,"Local-gov",186009,1,10,0,"Adm-clerical","Unmarried","White",0,0,0,38,"Mexico","<=50K"
34,"Private",198183,0,9,0,"Adm-clerical","Not-in-family","White",0,0,0,40,"United-States","<=50K"
33,"Private",163003,0,13,0,"Exec-managerial","Other-relative","Asian-Pac-Islander",0,0,0,40,"Philippines","<=50K"
21,"Private",296158,0,9,0,"Craft-repair","Own-child","White",1,0,0,35,"United-States","<=50K"
52,"",252903,0,9,0,"","Not-in-family","White",1,0,0,45,"United-States",">50K"
48,"Private",187715,0,9,1,"Craft-repair","Husband","White",1,0,0,46,"United-States","<=50K"
23,"Private",214542,0,13,0,"Handlers-cleaners","Not-in-family","White",1,0,0,40,"United-States","<=50K"
71,"Self-emp-not-inc",494223,1,10,0,"Sales","Unmarried","Black",1,0,1816,2,"United-States","<=50K"
29,"Private",191535,0,9,0,"Craft-repair","Not-in-family","White",1,0,0,60,"United-States","<=50K"
42,"Private",228456,0,13,0,"Other-service","Other-relative","Black",1,0,0,50,"United-States","<=50K"
68,"",38317,0,2,0,"","Not-in-family","White",0,0,0,20,"United-States","<=50K"
25,"Private",252752,0,9,0,"Other-service","Unmarried","White",0,0,0,40,"United-States","<=50K"
44,"Self-emp-inc",78374,1,14,0,"Exec-managerial","Unmarried","Asian-Pac-Islander",0,0,0,40,"United-States","<=50K"
28,"Private",88419,0,9,0,"Exec-managerial","Not-in-family","Asian-Pac-Islander",0,0,0,40,"England","<=50K"
45,"Self-emp-not-inc",201080,1,14,1,"Sales","Husband","White",1,0,0,40,"United-States",">50K"
36,"Private",207157,1,10,0,"Other-service","Unmarried","White",0,0,0,40,"Mexico","<=50K"
39,"Federal-gov",235485,0,12,0,"Exec-managerial","Not-in-family","White",1,0,0,42,"United-States","<=50K"
46,"State-gov",102628,1,14,0,"Protective-serv","Unmarried","White",1,0,0,40,"United-States","<=50K"
18,"Private",25828,0,7,0,"Handlers-cleaners","Own-child","White",1,0,0,16,"United-States","<=50K"
66,"Local-gov",54826,0,11,0,"Prof-specialty","Not-in-family","White",0,0,0,20,"United-States","<=50K"
27,"Private",124953,0,9,0,"Other-service","Not-in-family","White",1,0,1980,40,"United-States","<=50K"
28,"State-gov",175325,0,9,1,"Protective-serv","Husband","White",1,0,0,40,"United-States","<=50K"
51,"Private",96062,1,10,1,"Sales","Husband","White",1,0,1977,40,"United-States",">50K"
27,"Private",428030,0,13,0,"Craft-repair","Not-in-family","White",1,0,0,50,"United-States","<=50K"
28,"State-gov",149624,0,13,1,"Prof-specialty","Husband","White",1,0,0,40,"United-States",">50K"
27,"Private",253814,0,9,0,"Sales","Unmarried","White",0,0,0,25,"United-States","<=50K"
21,"Private",312956,0,9,0,"Craft-repair","Own-child","Black",1,0,0,40,"United-States","<=50K"
34,"Private",483777,0,9,0,"Handlers-cleaners","Not-in-family","Black",1,0,0,40,"United-States","<=50K"
18,"Private",183930,0,9,0,"Other-service","Own-child","White",1,0,0,12,"United-States","<=50K"
33,"Private",37274,0,13,1,"Prof-specialty","Husband","White",1,0,0,65,"United-States","<=50K"
44,"Local-gov",181344,1,10,1,"Exec-managerial","Husband","Black",1,0,0,38,"United-States",">50K"
43,"Private",114580,1,10,0,"Adm-clerical","Not-in-family","White",0,0,0,40,"United-States","<=50K"
30,"Private",633742,1,10,0,"Craft-repair","Not-in-family","Black",1,0,0,45,"United-States","<=50K"
40,"Private",286370,0,4,1,"Machine-op-inspct","Husband","White",1,0,0,40,"Mexico",">50K"
37,"Federal-gov",29054,1,10,1,"Adm-clerical","Husband","White",1,0,0,42,"United-States",">50K"
34,"Private",304030,0,9,1,"Adm-clerical","Husband","Black",1,0,0,40,"United-States","<=50K"
41,"Self-emp-not-inc",143129,0,13,0,"Exec-managerial","Not-in-family","White",0,0,0,40,"United-States","<=50K"
53,"",135105,0,13,0,"","Not-in-family","White",0,0,0,50,"United-States","<=50K"
31,"Private",99928,1,14,1,"Prof-specialty","Wife","White",0,0,0,50,"United-States","<=50K"
58,"State-gov",109567,1,16,1,"Prof-specialty","Husband","White",1,0,0,1,"United-States",">50K"
38,"Private",155222,1,10,0,"Machine-op-inspct","Not-in-family","Black",0,0,0,28,"United-States","<=50K"
24,"Private",159567,1,10,1,"Machine-op-inspct","Husband","White",1,0,0,40,"United-States","<=50K"
41,"Local-gov",523910,0,13,1,"Craft-repair","Husband","Black",1,0,0,40,"United-States","<=50K"
47,"Private",120939,1,10,1,"Tech-support","Husband","White",1,0,0,45,"United-States","<=50K"
41,"Federal-gov",130760,0,13,1,"Tech-support","Husband","White",1,0,0,24,"United-States","<=50K"
23,"Private",197387,0,3,1,"Transport-moving","Other-relative","White",1,0,0,40,"Mexico","<=50K"
36,"Private",99374,1,10,0,"Craft-repair","Not-in-family","White",1,0,0,40,"United-States","<=50K"
40,"Federal-gov",56795,1,14,0,"Exec-managerial","Not-in-family","White",0,14084,0,55,"United-States",">50K"
35,"Private",138992,1,14,1,"Prof-specialty","Other-relative","White",1,7298,0,40,"United-States",">50K"
24,"Self-emp-not-inc",32921,0,9,0,"Sales","Not-in-family","White",1,0,0,40,"United-States","<=50K"
26,"Private",397317,1,14,0,"Prof-specialty","Not-in-family","White",0,0,1876,40,"United-States","<=50K"
19,"",170653,0,9,0,"","Own-child","White",1,0,0,40,"Italy","<=50K"
51,"Private",259323,0,13,1,"Exec-managerial","Husband","White",1,0,0,50,"United-States",">50K"
42,"Local-gov",254817,1,10,0,"Prof-specialty","Not-in-family","White",0,0,1340,40,"United-States","<=50K"
37,"State-gov",48211,0,9,0,"Adm-clerical","Unmarried","White",0,0,0,35,"United-States","<=50K"
18,"Private",140164,0,7,0,"Sales","Own-child","White",0,0,0,40,"United-States","<=50K"
36,"Private",128757,0,13,1,"Other-service","Husband","Black",1,7298,0,36,"United-States",">50K"
35,"Private",36270,0,9,0,"Craft-repair","Not-in-family","White",1,0,0,60,"United-States","<=50K"
58,"Self-emp-inc",210563,0,9,1,"Sales","Wife","White",0,15024,0,35,"United-States",">50K"
17,"Private",65368,0,7,0,"Sales","Own-child","White",0,0,0,12,"United-States","<=50K"
44,"Local-gov",160943,0,9,1,"Transport-moving","Husband","Black",1,0,0,40,"United-States","<=50K"
37,"Private",208358,0,9,1,"Craft-repair","Husband","White",1,0,0,40,"United-States",">50K"
35,"Private",153790,1,10,0,"Sales","Not-in-family","Amer-Indian-Eskimo",0,0,0,40,"United-States","<=50K"
60,"Private",85815,0,9,1,"Craft-repair","Husband","Asian-Pac-Islander",1,0,0,40,"United-States","<=50K"
54,"Self-emp-inc",125417,0,4,1,"Machine-op-inspct","Husband","White",1,0,0,40,"United-States",">50K"
37,"Private",635913,0,13,0,"Exec-managerial","Not-in-family","Black",1,0,0,60,"United-States",">50K"
50,"Private",313321,0,12,0,"Sales","Not-in-family","White",0,0,0,40,"United-States","<=50K"
38,"Private",182609,0,13,1,"Sales","Husband","White",1,0,0,50,"Poland","<=50K"
45,"Private",109434,0,13,1,"Prof-specialty","Husband","White",1,0,0,55,"United-States","<=50K"
25,"Private",255004,0,6,0,"Craft-repair","Not-in-family","White",1,0,0,40,"United-States","<=50K"
31,"Private",197860,1,10,1,"Handlers-cleaners","Husband","White",1,0,0,40,"United-States","<=50K"
64,"",187656,0,2,0,"","Not-in-family","White",1,0,0,40,"United-States","<=50K"
90,"Private",51744,0,9,0,"Other-service","Not-in-family","Black",1,0,2206,40,"United-States","<=50K"
54,"Private",176681,0,9,1,"Adm-clerical","Husband","Black",1,0,0,20,"United-States","<=50K"
53,"Local-gov",140359,0,1,0,"Machine-op-inspct","Not-in-family","White",0,0,0,35,"United-States","<=50K"
18,"Private",243313,0,9,0,"Sales","Own-child","White",0,0,0,40,"United-States","<=50K"
60,"",24215,0,6,0,"","Not-in-family","Amer-Indian-Eskimo",0,0,0,10,"United-States","<=50K"
66,"Self-emp-not-inc",167687,0,9,1,"Farming-fishing","Husband","White",1,1409,0,50,"United-States","<=50K"
75,"Private",314209,0,11,0,"Adm-clerical","Not-in-family","White",0,0,0,20,"Columbia","<=50K"
65,"Private",176796,0,9,0,"Adm-clerical","Not-in-family","White",0,0,0,40,"United-States","<=50K"
35,"Private",538583,0,7,0,"Transport-moving","Not-in-family","Black",1,3674,0,40,"United-States","<=50K"
41,"Private",130408,0,9,0,"Sales","Unmarried","Black",0,0,0,38,"United-States","<=50K"
25,"Private",159732,1,10,0,"Adm-clerical","Not-in-family","White",1,0,0,42,"United-States","<=50K"
33,"Private",110978,1,10,0,"Craft-repair","Other-relative","Other",0,0,0,40,"United-States","<=50K"
28,"Private",76714,0,15,0,"Prof-specialty","Not-in-family","White",1,0,0,55,"United-States",">50K"
59,"State-gov",268700,0,9,1,"Other-service","Husband","White",1,0,0,40,"United-States","<=50K"
40,"State-gov",170525,1,10,0,"Adm-clerical","Not-in-family","White",0,0,0,38,"United-States","<=50K"
41,"Private",180138,0,13,1,"Exec-managerial","Husband","White",1,0,0,50,"Iran",">50K"
38,"Local-gov",115076,1,14,1,"Exec-managerial","Husband","White",1,0,0,70,"United-States",">50K"
23,"Private",115458,0,9,0,"Transport-moving","Own-child","White",1,0,0,40,"United-States","<=50K"
40,"Private",347890,0,13,1,"Prof-specialty","Husband","White",1,0,0,40,"United-States",">50K"
41,"Self-emp-not-inc",196001,0,9,1,"Other-service","Wife","White",0,0,0,20,"United-States","<=50K"
24,"State-gov",273905,0,12,1,"Protective-serv","Husband","White",1,0,0,50,"United-States","<=50K"
20,"",119156,1,10,0,"","Own-child","White",1,0,0,20,"United-States","<=50K"
38,"Private",179488,1,10,0,"Craft-repair","Not-in-family","White",1,0,1741,40,"United-States","<=50K"
56,"Private",203580,0,9,1,"Adm-clerical","Husband","White",1,0,0,35,"","<=50K"
58,"Private",236596,0,9,1,"Adm-clerical","Husband","White",1,0,0,45,"United-States",">50K"
32,"Private",183916,0,9,0,"Other-service","Not-in-family","White",0,0,0,34,"United-States","<=50K"
40,"Private",207578,0,12,1,"Tech-support","Husband","White",1,0,1977,60,"United-States",">50K"
45,"Private",153141,0,9,1,"Adm-clerical","Husband","White",1,0,0,40,"","<=50K"
41,"Private",112763,0,15,1,"Prof-specialty","Wife","White",0,0,0,40,"United-States",">50K"
42,"Private",390781,0,13,1,"Adm-clerical","Wife","Black",0,0,0,40,"United-States","<=50K"
59,"Local-gov",171328,0,6,0,"Other-service","Unmarried","Black",0,0,0,30,"United-States","<=50K"
19,"Local-gov",27382,1,10,0,"Adm-clerical","Own-child","White",1,0,0,40,"United-States","<=50K"
58,"Private",259014,1,10,0,"Transport-moving","Not-in-family","White",1,0,0,20,"United-States","<=50K"
42,"Self-emp-not-inc",303044,0,9,1,"Farming-fishing","Husband","Asian-Pac-Islander",1,0,0,40,"Cambodia",">50K"
20,"Private",117789,0,9,0,"Other-service","Own-child","White",0,0,0,40,"United-States","<=50K"
32,"Private",172579,0,9,0,"Other-service","Not-in-family","White",0,0,0,30,"United-States","<=50K"
45,"Private",187666,0,11,0,"Exec-managerial","Not-in-family","White",0,0,0,45,"United-States","<=50K"
50,"Private",204518,0,4,0,"Craft-repair","Not-in-family","White",1,0,0,40,"United-States","<=50K"
36,"Private",150042,0,13,0,"Prof-specialty","Own-child","White",0,0,0,40,"United-States","<=50K"
45,"Private",98092,0,9,1,"Sales","Husband","White",1,0,0,60,"United-States","<=50K"
17,"Private",245918,0,7,0,"Other-service","Own-child","White",1,0,0,12,"United-States","<=50K"
59,"Private",146013,1,10,1,"Sales","Husband","White",1,4064,0,40,"United-States","<=50K"
26,"Private",378322,0,7,1,"Craft-repair","Husband","White",1,0,0,40,"United-States","<=50K"
37,"Self-emp-inc",257295,1,10,1,"Exec-managerial","Husband","Asian-Pac-Islander",1,0,0,75,"Thailand",">50K"
19,"",218956,1,10,0,"","Own-child","White",1,0,0,24,"Canada","<=50K"
64,"Private",21174,0,9,1,"Exec-managerial","Husband","White",1,0,0,40,"United-States",">50K"
33,"Private",185480,0,13,0,"Prof-specialty","Not-in-family","White",0,0,0,45,"United-States","<=50K"
33,"Private",222205,0,9,1,"Craft-repair","Wife","White",0,0,0,40,"United-States",">50K"
61,"Private",69867,0,9,1,"Exec-managerial","Husband","White",1,0,0,40,"United-States",">50K"
17,"Private",191260,0,5,0,"Other-service","Own-child","White",1,1055,0,24,"United-States","<=50K"
50,"Self-emp-not-inc",30653,1,14,1,"Farming-fishing","Husband","White",1,2407,0,98,"United-States","<=50K"
27,"Local-gov",209109,1,14,0,"Prof-specialty","Own-child","White",1,0,0,35,"United-States","<=50K"
