"ucc"	"count"	"avg.cost"	"descr"
"357"	"560400"	391	135.048593350384	"SERV BY PROS OTH THAN PHYSICIANS"
"572"	"910101"	387	144.08850129199	"RENT EQUIV VAC HOME NOT AVAIL RNT"
"576"	"910105"	387	1472.97932816537	"CPI ADJ RE VAC HOME NOT AVAIL RNT"
"297"	"480110"	385	399.948051948052	"TIRES PURCHASED/REPLACED/INSTALL"
"164"	"320521"	382	63.2146596858639	"SMALL ELECTRIC KITCHEN APPLIANCES"
"136"	"310240"	365	9.39452054794521	"STREAMING/DOWNLOADING VIDEO"
"298"	"480212"	363	23.702479338843	"VEHICLE PRODUCTS & SERVICES"
"355"	"560310"	363	92.5895316804408	"EYECARE SERVICES"
"227"	"380110"	358	89.2178770949721	"WOMENS COATS AND JACKETS"
"401"	"610900"	354	56.9300847457627	"REC EXPNS OUTSIDE HOME CITY"
"417"	"620903"	354	56.9300847457627	"OTH ENT SERV, OUT-OF-TOWN TRIP"
"35"	"220611"	349	2035.47277936963	"CAP IMPROVE LABOR/MAT OWND"
"409"	"620212"	345	119.326086956522	"MOVIE, OTH ADM. OUT-OF-TOWN"
"411"	"620222"	345	39.768115942029	"ADM TO SPRTS EVENTS OUT-OF-TOW"
"415"	"620410"	341	81.8357771260997	"PET SERVICES"
"145"	"310400"	338	5.07100591715976	"APPS/GAMES/RINGTONES FOR DEVICES"
"387"	"600210"	337	136.970326409496	"GENERAL SPORT/EXCERCISE EQUIP"
"349"	"550110"	334	197.766467065868	"EYEGLASSES AND CONTACT LENSES"
"253"	"400210"	318	58.5377358490566	"BOYS FOOTWEAR"
"457"	"690111"	318	466.364779874214	"COMPTER/COMPTER HRDWAR N-BUS USE"
"333"	"520542"	317	14.2271293375394	"TOLLS ON OUT-OF-TOWN TRIPS"
"152"	"320233"	311	88.6109324758842	"CLOCKS AND OTHER HH DECOR ITEMS"
"217"	"370130"	310	59.8354838709677	"BOYS SHIRTS"
"254"	"400220"	309	55.6407766990291	"GIRLS FOOTWEAR"
"94"	"270311"	305	42.5081967213115	"SATELLITE RADIO SERVICE"
"325"	"520410"	304	37.9177631578947	"VEHICLE INSPECTION"
"151"	"320232"	301	126.651162790698	"TELEPHONES AND ACCESSORIES"
"32"	"220313"	299	163.933110367893	"INTEREST, LMP SUM HM EQ LN, OWND"
"372"	"580904"	294	168.802721088435	"COML MEDICARE SUPPLEMENT (BCBS)"
"356"	"560330"	292	157.561643835616	"LAB TESTS, X-RAYS"
"522"	"830203"	291	-256.257731958763	"RDUCT PRINC,LMP SM HM EQ LN,OWND"
"257"	"410120"	280	49.9642857142857	"INFANT DRESSES/OUTERWEAR"
"237"	"380430"	276	17.8768115942029	"WOMENS HOSIERY"
"358"	"570111"	273	292.058608058608	"HOSPITAL ROOMS & SERVICES"
"440"	"670110"	272	2301.78308823529	"COLLEGE TUITION"
"312"	"490318"	265	156.437735849057	"TIRE REPAIR AND OTH REPAIR WORK"
"292"	"470112"	264	244.625	"DIESEL FUEL"
"502"	"800804"	257	434.424124513619	"SUPPORT FOR COLLEGE STUDENTS"
"205"	"360311"	253	25.9802371541502	"MENS UNDERWEAR"
"100"	"280110"	249	37.9678714859438	"BATHROOM LINENS"
"454"	"680902"	249	259.570281124498	"ACCOUNTING FEES"
"278"	"450310"	242	352.640495867769	"CAR LEASE PAYMENTS"
"182"	"340510"	240	265.604166666667	"MOVING, STORAGE,FREIGHT"
"53"	"230901"	239	234.627615062761	"PROP MANAGEMENT OWND"
"199"	"340914"	235	98.0868085106383	"SERV FOR TERMT/PST CNTRL"
"324"	"520310"	235	36.5489361702128	"DRIVERS LICENSE"
"342"	"530312"	234	51.5873076923077	"LOCAL TRANS. OUT OF TOWN TRIPS"
"343"	"530411"	234	30.2973076923077	"TAXI FARES ON TRIPS"
"518"	"830101"	232	-1046.625	"SPEC/LUMP MORT PAY OWND"
"5"	"006004"	231	-5841.8961038961	"TOTAL AMT OWED 5TH INTER,CY Q1"
"7"	"006006"	231	5841.8961038961	"TOTAL AMT OWED 5TH INTER,CY+1,Q1"
"499"	"800700"	231	154.670995670996	"MEALS AS PAY"
"69"	"250112"	229	452.174672489083	"FUEL OIL OWND"
"43"	"230114"	227	426.11013215859	"HEAT/AC/ELEC LABOR/MAT OWND"
"404"	"620113"	226	95.6858407079646	"AUTOMOBILE SERVICE CLUBS"
"305"	"490221"	224	263.808035714286	"BRAKE WORK"
"73"	"250212"	218	271.821100917431	"GAS, BOTTLED OR TANK OWND"
"206"	"360312"	216	17.4675925925926	"MENS HOSIERY"
"88"	"270105"	215	38.9906976744186	"VOICE OVER IP SERVICE"
"235"	"380410"	211	34.2748815165877	"WOMENS SLEEPWEAR"
"204"	"360210"	204	104.107843137255	"MENS COATS AND JACKETS"
"435"	"660110"	202	292.485148514851	"SCHOOL BK/SUPL/EQUIP FOR COLLEGE"
"513"	"810400"	196	223.739795918367	"GIFT OF TRIP EXPENSES"
"308"	"490311"	195	256.810256410256	"MOTOR TUNE-UP"
"130"	"310140"	193	593.253886010363	"TELEVISIONS"
"167"	"320612"	191	54.0575916230367	"CONSTRUCTION MAT OWND"
"340"	"530210"	191	56.9476439790576	"INTERCITY BUS FARES"
"407"	"620122"	190	96.5578947368421	"PARTIC. SPORTS OUT-OF-TOWN TRI"
"574"	"910103"	189	4761.45725449735	"RENTAL EQUIVALENCE FOR TIMESHARES"
"578"	"910107"	189	121.063492063492	"CPI ADJ RENT EQUIV FOR TIMESHARES"
"445"	"670902"	188	165.457446808511	"OTH SCH EXPENSES INCLUD RENTALS"
"176"	"330511"	187	23.5967914438503	"MAT FOR TERMTE/PST CNTRL MAINTCE"
"134"	"310231"	183	87.448087431694	"VIDEO GAME SOFTWARE"
"208"	"360330"	183	44.4426229508197	"MENS ACCESSORIES"
"33"	"220512"	182	422.714285714286	"CAPITAL IMPROVE MATERIALS OWND"
"432"	"640420"	182	41.1098901098901	"ELECTRIC PERSONAL CARE APPL."
"247"	"390310"	179	24.0782122905028	"GIRLS UNDERWEAR AND SLEEPWEAR"
"209"	"360340"	178	61.0842696629214	"MENS SWEATERS AND VESTS"
"428"	"620930"	178	12.1910112359551	"ONLINE ENTERTAINMENT AND GAMES"
"51"	"230151"	176	852.471590909091	"OTH REP/MAINT LABOR/MAT OWND"
"376"	"590220"	174	24.2816091954023	"BOOKS THRU BOOK CLUBS"
"436"	"660210"	174	89.2068965517241	"SCHOOL BK/SUPL/EQUIP FOR ELEM/HS"
"42"	"230113"	172	344.03488372093	"PLMB/WTR HEAT LABOR/MAT OWND"
"345"	"530510"	171	90.3918128654971	"INTERCITY TRAIN FARES"
"462"	"690116"	170	38.6882352941176	"INTERNET SERVICES AWAY FROM HOME"
"447"	"680110"	169	637.775147928994	"LEGAL FEES"
"79"	"260113"	168	76.6369047619048	"ELECTRICITY OWNV"
"263"	"430110"	167	86.3473053892216	"WATCHES"
"405"	"620115"	166	53.3373493975904	"SHOPPING CLUB MEMB FEES"
"530"	"850300"	162	90.6481481481482	"INT PAID ON OTH VEH"
"466"	"690120"	161	57.527950310559	"COMPUTER ACCESSORIES"
"115"	"290440"	155	244.935483870968	"WALL UNITS, CABINETS, OCCAS FURN"
"506"	"800841"	153	233.771241830065	"CASH CONTS TO EDUCATIONAL INSTS"
"369"	"580400"	151	532.966887417219	"LONG TERM CARE INSURANCE"
"150"	"320220"	150	89.6733333333333	"LAMPS AND LIGHTING FIXTURES"
"234"	"380340"	147	50.1360544217687	"WOMENS SWIMSUITS/WARM-UP/SKI SUIT"
"463"	"690117"	145	34.3724137931034	"PORTABLE MEMORY"
"177"	"340211"	144	323.548611111111	"BABYSIT/CHILD CARE OWN HOME"
"268"	"440130"	143	42.4265734265734	"ALTER/REPAIR OF APPAREL, ACCESS"
"201"	"350110"	142	90.5633802816901	"RENTERS INSURANCE"
"260"	"410901"	142	36.8732394366197	"INFANTS ACCESSORIES"
"159"	"320370"	140	63.2571428571429	"NONELECTRIC COOKWARE"
"331"	"520532"	140	37.0071428571429	"PARKING FEES, OUT-OF-TOWN TRIP"
"390"	"600420"	138	166.782608695652	"HUNTING, FISHING EQUIPMENT"
"310"	"490313"	137	136.14598540146	"FRNT END ALIGN, WHEEL BAL/ROTAT"
"153"	"320310"	135	16.2592592592593	"PLASTIC DINNERWARE"
"232"	"380320"	135	56.362962962963	"WOMENS SKIRTS"
"500"	"800710"	135	583.918518518519	"RENT AS PAY"
"31"	"220312"	133	557.458646616541	"MORTGAGE INTEREST OWNV"
"1"	"002120"	132	118.159090909091	"OTHER NON-HEALTH INSURANCE"
"105"	"280230"	132	60.8030303030303	"SEWING MATERIALS"
"441"	"670210"	131	1067.73282442748	"ELEM./H.S. TUITION"
"521"	"830202"	130	-327.015384615385	"REDUCTION MORTGAGE PRINC OWNV"
"186"	"340620"	129	134.53488372093	"REPAIR OF HOUSEHOLD APPLIANCES"
"360"	"570230"	128	227.7265625	"OTHER MEDICAL CARE SERVICE"
"243"	"390120"	127	63.748031496063	"GIRLS DRESSES, SUITS"
"181"	"340420"	124	39.6129032258064	"WATER SOFTENING SERVICE"
"398"	"610210"	123	6.56910569105691	"FILM"
"160"	"320410"	120	411.241666666667	"LAWN AND GARDEN EQUIPMENT"
"146"	"320111"	118	185.745762711864	"FLOOR COVERINGS (NON-PERM.)"
"162"	"320511"	117	150.179487179487	"ELECTRIC FLOOR CLEANING EQUIP"
"108"	"290120"	115	644.8	"OTHER BEDROOM FURNITURE"
"399"	"610230"	115	214.782608695652	"PHOTOGRAPHIC EQUIPMENT"
"109"	"290210"	113	807.362831858407	"SOFAS"
"218"	"370211"	111	26.5675675675676	"BOYS UNDERWEAR"
"215"	"370110"	109	63.4954128440367	"BOYS COATS AND JACKETS"
"242"	"390110"	109	67.0642201834862	"GIRLS COATS AND JACKETS"
"431"	"640130"	108	43.5	"WIGS AND HAIRPIECES"
"178"	"340212"	106	226.518867924528	"BABYSIT/CHILD CARE OTHER HOME"
"161"	"320420"	103	176.427184466019	"POWER TOOLS"
"316"	"490413"	103	554.398058252427	"MOTOR REPAIR/REPLACEMENT"
"388"	"600310"	103	201.650485436893	"BICYCLES"
"543"	"870201"	103	5859.59223300971	"USED CARS/TRUCKS, NOT FIN."
"135"	"310232"	101	177.524752475248	"VIDEO GAME HARDWARE/ACCESSORIES"
"16"	"190901"	99	255.444444444444	"FOOD OR BOARD WHILE AT SCHOOL"
"403"	"620112"	99	17.4141414141414	"CREDIT CARD MEMBERSHIPS"
"17"	"190902"	98	815.255102040816	"FOOD AND BEV FOR CATERED AFFAIRS"
"346"	"530901"	98	541.336734693878	"SHIP FARES"
"103"	"280210"	96	202.03125	"CURTAINS AND DRAPES"
"413"	"620320"	96	122.46875	"PHOTOGRAPHER FEES"
"154"	"320320"	93	62.1397849462366	"CHINA AND OTHER DINNERWARE"
"190"	"340903"	93	117.634408602151	"MISC. HOME SERVICES"
"56"	"240112"	92	53.9640652173913	"PAINT/WALLPAPER AND SUPP OWND"
"58"	"240122"	92	5.79680434782609	"EQUIP FOR PAINT/WPAPER OWND"
"315"	"490412"	92	335.228260869565	"ELECTRICAL SYSTEM REPAIR"
"131"	"310210"	91	133.714285714286	"VCRS/VIDEO DISC PLAYERS"
"173"	"320902"	91	65.7032967032967	"HAND TOOLS"
"529"	"850200"	90	20121.9666666667	"AMT BORROWED EXLC INT VEH LOAN"
"322"	"510902"	89	32.6966292134831	"MOTORCYCLE & PLANE FINANCE CHG"
"449"	"680210"	89	42.0786516853933	"SAFE DEPOSIT BOX RENTAL"
"549"	"870303"	89	32.6966292134831	"INTEREST, CYCLES/PLANES, FIN."
"550"	"870304"	89	220.606741573034	"PRINCIPAL, CYCLES/PLANES, FIN."
"102"	"280130"	88	25.0568181818182	"KITCHEN AND DINING ROOM LINENS"
"110"	"290310"	87	409.275862068966	"LIVING ROOM CHAIRS"
"133"	"310230"	87	139.873563218391	"VIDEO/COMP GAME HARDWARE/SOFTWARE"
"286"	"460110"	87	8157.54022988506	"USED CARS"
"374"	"580906"	87	72.9310344827586	"OTHER HEALTH INSURANCE (BCBS)"
"248"	"390321"	86	12.4767441860465	"GIRLS HOSIERY"
"396"	"610130"	86	462.581395348837	"MUSIC INSTRUMENTS/ACCESSORIES"
"465"	"690119"	86	138.744186046512	"COMPUTER SOFTWARE"
"107"	"290110"	85	749.976470588235	"MATTRESS AND SPRINGS"
"282"	"450410"	85	413.223529411765	"TRUCK LEASE PAYMENTS"
"183"	"340520"	84	10.452380952381	"HSHLD LNDRY,DRYCLN NOT COIN-OP"
"573"	"910102"	84	133.53869047619	"RENT EQUIV VAC HOME AVAIL FOR RNT"
"23"	"210310"	83	894.734939759036	"HOUSING FOR SOMEONE AT SCHOOL"
"220"	"370213"	82	16.6829268292683	"BOYS HOSIERY"
"249"	"390322"	77	35.1688311688312	"GIRLS ACCESSORIES"
"270"	"440150"	77	86.5584415584416	"WATCH AND JEWELRY REPAIR"
"306"	"490231"	75	380.6	"REPAIR TO STEERING OR FRONT END"
"326"	"520511"	75	63.8533333333333	"AUTO RENTAL"
"156"	"320340"	73	21.7808219178082	"GLASSWARE"
"74"	"250213"	71	80.2253521126761	"GAS,BOTTLED OR TANK - OWNV & RVS"
"307"	"490232"	71	231.746478873239	"REPAIR TO ENGINE COOLING SYSTEM"
"188"	"340901"	70	149.585714285714	"RENTAL/REPAIR-TOOLS,LAWN/GARDEN"
"327"	"520512"	69	232.246376811594	"AUTO RENTAL, OUT-OF-TOWN TRIPS"
"464"	"690118"	69	192.724637681159	"DIGITAL BOOK READERS"
"114"	"290430"	68	202.205882352941	"OUTDOOR FURNITURE"
"219"	"370212"	68	31.1617647058824	"BOYS NIGHTWEAR"
"288"	"460901"	68	10386.8529411765	"USED TRUCKS"
"139"	"310314"	67	197.417910447761	"DIGITAL AUDIO PLAYERS"
"141"	"310333"	65	139.907692307692	"ACCESSORIES AND OTHER SOUND EQUIP"
"210"	"360350"	65	46.0615384615385	"MENS SWIMSUITS/WARM-UP/SKI SUITS"
"91"	"270213"	64	60.5	"WATER AND SEWERAGE MAINT OWNV"
"112"	"290410"	64	748.390625	"KITCHEN/DINING ROOM FURNITURE"
"197"	"340911"	64	433.328125	"MNGMT/SPEC SER/SECURITY OWND"
"165"	"320522"	63	166.492063492063	"PORTABLE HEATING/COOLING EQUIP"
"446"	"670903"	63	232.888888888889	"TEST PREP/TUTORING SERVICES"
"494"	"790920"	63	-417.301587301587	"REDUCT MORT PRIN OTH PROP"
"397"	"610140"	61	95.6885245901639	"STAMP AND COIN COLLECTING"
"448"	"680140"	61	924.885245901639	"FUNERAL EXPENSE"
"335"	"520560"	60	20.1	"GLOBAL POSITIONING SERVICES"
"149"	"320150"	58	155.775862068966	"BARBEQUE GRILLS AND OUTDOOR EQUIP"
"259"	"410140"	58	31.6379310344828	"INFANT NIGHTWEAR/LOUNGEWEAR"
"507"	"800851"	58	141.568965517241	"CASH CONTS TO POLITICAL ORGS"
"202"	"360110"	57	410.122807017544	"MENS SUITS"
"207"	"360320"	57	36.0175438596491	"MENS NIGHTWEAR/LOUNGEWEAR"
"52"	"230152"	56	384.053571428571	"OTH REP/MAINT LABOR/MAT OWNV"
"216"	"370120"	56	53	"BOYS SWEATERS"
"472"	"690245"	56	101.482142857143	"OTH HH APPL OWND"
"555"	"870503"	56	68.1785714285714	"INTEREST, UNMOTOR CAMPER, FIN."
"556"	"870504"	56	152.107142857143	"PRINCIPAL, UNMOTOR CAMPER, FIN."
"303"	"490211"	55	656.2	"CLUTCH, TRANSMISSION REPAIR"
"350"	"550320"	55	94.4909090909091	"MEDICAL EQUIP. FOR GENERAL USE"
"262"	"420120"	54	19.0555555555556	"SEWING NOTIONS, PATTERNS"
"265"	"430130"	54	108.851851851852	"LUGGAGE"
"459"	"690113"	54	188.388888888889	"REPAIR-CMPTR,CMPTR SYS N-B"
"117"	"300112"	53	738.811320754717	"PURCH/INST REFRIG/FREEZER OWND"
"147"	"320120"	53	261	"WINDOW COVERINGS"
"148"	"320130"	53	122.849056603774	"INFANTS EQUIPMENT"
"44"	"230115"	52	1068.84615384615	"ROOFING/GUTTERS LABOR/MAT OWND"
"76"	"250912"	51	162.960784313725	"OTHER FUELS OWND"
"104"	"280220"	51	34.4117647058824	"SLIPCOVERS/DECORATIVE PILLOWS"
"113"	"290420"	51	126.529411764706	"INFANTS FURNITURE"
"246"	"390230"	51	36.4117647058824	"GIRLS SWIMSUITS/WARM-UP/SKI SUITS"
"570"	"910042"	51	78.2352941176471	"MONTHLY TRANSIT SUBSIDY AMOUNT"
"111"	"290320"	50	263.36	"LIVING ROOM TABLES"
"221"	"370220"	49	22.8775510204082	"BOYS ACCESSORIES"
"238"	"380510"	49	224.510204081633	"WOMENS SUITS"
"523"	"830301"	49	178380.306122449	"ORIGINAL MORT AMT OWND"
"24"	"210901"	48	928.208333333333	"GROUND RENT OWND"
"140"	"310320"	48	259.791666666667	"COMPONENTS/COMPONENT SYSTEMS"
